from,to,edge_type,relationship_nature,date,sentiment,standing,intentions,position,geographic_scope,additional_desc
1,9,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
9,1,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
5,11,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
11,5,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
5,15,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
15,5,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
5,3,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
3,5,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
9,3,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
3,9,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
9,13,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
13,9,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
9,16,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
16,9,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
9,2,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
2,9,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
9,14,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
14,9,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
14,10,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
10,14,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
11,15,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
15,11,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
11,4,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
4,11,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
15,13,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
13,15,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
15,4,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
4,15,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
13,16,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
16,13,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
16,7,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
7,16,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
2,6,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
6,2,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
2,7,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
7,2,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
4,7,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
7,4,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
7,8,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
8,7,house_house,NA,NA,NA,Marriage alliance,NA,NA,NA,NA
17,9,member_house,by birth,NA,NA,NA,NA,Patriarch,NA,NA
18,9,member_house,by birth,NA,NA,NA,NA,Head of Household (from 1469),NA,NA
19,9,member_house,by birth,NA,NA,NA,NA,Co-ruler with Lorenzo,NA,NA
20,10,member_house,by birth,NA,NA,NA,NA,Head of Household,NA,NA
21,10,member_house,by birth,NA,NA,NA,NA,Nephew of Jacopo,NA,NA
22,10,member_house,by birth,NA,NA,NA,NA,Nephew of Jacopo,NA,NA
23,2,member_house,by birth,NA,NA,NA,NA,Head of Household,NA,NA
24,15,member_house,by birth,NA,NA,NA,NA,Prominent member,NA,NA
25,14,member_house,by birth,NA,NA,NA,NA,Archbishop of Pisa,NA,NA
17,18,NPC_NPC,grandfather/grandson,NA,NA,NA,NA,NA,NA,NA
18,17,NPC_NPC,grandfather/grandson,NA,NA,NA,NA,NA,NA,NA
18,19,NPC_NPC,brothers,NA,NA,NA,NA,NA,NA,NA
19,18,NPC_NPC,brothers,NA,NA,NA,NA,NA,NA,NA
20,21,NPC_NPC,uncle/nephew,NA,NA,NA,NA,NA,NA,NA
21,20,NPC_NPC,uncle/nephew,NA,NA,NA,NA,NA,NA,NA
20,22,NPC_NPC,uncle/nephew,NA,NA,NA,NA,NA,NA,NA
22,20,NPC_NPC,uncle/nephew,NA,NA,NA,NA,NA,NA,NA
21,22,NPC_NPC,cousins,NA,NA,NA,NA,NA,NA,NA
22,21,NPC_NPC,cousins,NA,NA,NA,NA,NA,NA,NA
17,23,NPC_NPC,political rivals,NA,NA,NA,NA,NA,NA,Primary opponents of each other's rise to power; Rinaldo was exiled after Cosimo returned to power in 1434.
23,17,NPC_NPC,political rivals,NA,NA,NA,NA,NA,NA,Primary opponents of each other's rise to power; Rinaldo was exiled after Cosimo returned to power in 1434.
17,24,NPC_NPC,political rivals,NA,NA,NA,NA,NA,NA,Palla Strozzi was exiled in 1434 alongside Rinaldo degli Albizzi as Cosimo consolidated power.
24,17,NPC_NPC,political rivals,NA,NA,NA,NA,NA,NA,Palla Strozzi was exiled in 1434 alongside Rinaldo degli Albizzi as Cosimo consolidated power.
18,20,NPC_NPC,target of the 1478 conspiracy,NA,NA,NA,NA,NA,NA,Lorenzo was wounded but survived the attack at the Duomo.
19,21,NPC_NPC,killed by,NA,NA,NA,NA,NA,NA,Francesco de' Pazzi was among those who attacked and killed Giuliano during the 1478 conspiracy.
19,25,NPC_NPC,targeted by,NA,NA,NA,NA,NA,NA,"Salviati helped organize the conspiracy that killed Giuliano, though the historical record has him among the plotters rather than the attackers who struck the blow."
