name,node_type,visible_fields,desc,history,crest_desc,city,district,seat_of_power,industry_hist,industry_modern,holdings,wealth,influence,church_standing,military_obligations,guild_affiliations,banking_or_credit_networks,notable_ancestors,artistic_patronage,goals_n_interests,scandals,secrets,personality_trait,bond,flaw,ideal,birth_year,death_year,age,main_residence,title_position,legitimacy_status,reputation,popularity,guild_o_church_connections,education,magical_n_combat_prowess,CR,statblock,items_of_interest,relation_to_PCs
Acciaiuoli,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albizzi,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbadori,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bischeri,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castellani,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginori,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guadagni,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamberteschi,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medici,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pazzi,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peruzzi,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pucci,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ridolfi,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salviati,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strozzi,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tornabuoni,house,"desc,city",One of the 16 leading families in Padgett & Ansell's historical network of Renaissance Florence.,NA,NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cosimo de' Medici,NPC,"birth_year,death_year,desc","""il Vecchio."" Unofficial ruler of Florence from 1434; financed Brunelleschi's dome for the Duomo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389,1464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorenzo de' Medici,NPC,"birth_year,death_year,desc","""il Magnifico."" Grandson of Cosimo. Survived an assassination attempt during the 1478 Pazzi conspiracy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1449,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giuliano de' Medici,NPC,"birth_year,death_year,desc",Lorenzo's brother and co-ruler. Killed during the Pazzi conspiracy's attack at Easter Mass in the Duomo.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1453,1478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
